Payment date,Payable month,House,Apartment,Amount of payment
2014-12-07,2014-10,Panel,30,207.34
2014-12-07,2014-10,Panel,83,3190.69
2014-12-07,2014-10,Brick,38,6339.67
2014-12-07,2014-10,Panel,8,6242.05
2014-12-07,2014-10,Brick,20,26.8
2014-12-07,2014-10,Panel,64,5504.17
2014-12-07,2014-10,Brick,6,3306.25
2014-12-07,2014-10,Panel,15,1147.73
2014-12-08,2014-10,Panel,46,726.99
2014-12-08,2014-10,Brick,100,2977.11
2014-12-08,2014-10,Brick,32,7839.85
2014-12-08,2014-10,Brick,69,1077.37
2014-12-08,2014-10,Brick,76,1128.65
2014-12-08,2014-10,Brick,78,2274.59
2014-12-08,2014-10,Panel,61,569.42
2014-12-08,2014-10,Brick,58,686.61
2014-12-09,2014-10,Panel,60,2014.51
2014-12-09,2014-10,Brick,26,2750.71
2014-12-09,2014-10,Brick,106,2509.0
2014-12-09,2014-10,Panel,37,2004.75
2014-12-09,2014-10,Brick,119,5238.43
2014-12-09,2014-10,Brick,129,5688.71
2014-12-09,2014-10,Brick,34,2453.67
2014-12-09,2014-10,Panel,3,4079.5
2014-12-10,2014-10,Stone,11,1237.34
2014-12-10,2014-10,Panel,11,5620.8
2014-12-10,2014-10,Panel,59,1478.77
2014-12-10,2014-10,Panel,86,1287.4
2014-12-10,2014-10,Stone,2,6677.44
2014-12-10,2014-10,Brick,60,1668.38
2014-12-10,2014-10,Brick,19,1332.99
2014-12-10,2014-10,Brick,103,2647.07
2014-12-11,2014-10,Panel,27,3573.78
2014-12-11,2014-10,Brick,22,5659.5
2014-12-11,2014-10,Panel,4,1919.63
2014-12-11,2014-10,Panel,7,598.19
2014-12-11,2014-10,Stone,7,1341.82
2014-12-11,2014-10,Brick,70,3479.64
2014-12-11,2014-10,Panel,24,3343.68
2014-12-11,2014-10,Panel,16,638.96
2014-12-12,2014-10,Brick,118,6715.52
2014-12-12,2014-10,Brick,46,2762.29
2014-12-12,2014-10,Panel,76,319.44
2014-12-12,2014-10,Panel,73,4621.59
2014-12-12,2014-10,Brick,68,3232.99
2014-12-12,2014-10,Panel,51,328.08
2014-12-12,2014-10,Wooden,5,3830.7
2014-12-12,2014-10,Brick,64,99.8
2014-12-13,2014-10,Stone,9,2962.47
2014-12-13,2014-10,Stone,15,1988.82
2014-12-13,2014-10,Panel,54,8653.73
2014-12-13,2014-10,Panel,99,918.68
2014-12-13,2014-10,Stone,14,1966.22
2014-12-13,2014-10,Panel,42,66.34
2014-12-13,2014-10,Brick,83,757.25
2014-12-13,2014-10,Brick,111,1435.18
2014-12-14,2014-10,Brick,107,200.29
2014-12-14,2014-10,Brick,86,1975.59
2014-12-14,2014-10,Brick,61,1079.13
2014-12-14,2014-10,Brick,85,1214.38
2014-12-14,2014-10,Brick,25,3957.39
2014-12-14,2014-10,Brick,33,2222.33
2014-12-14,2014-10,Wooden,4,4234.45
2014-12-14,2014-10,Panel,79,1281.2
2014-12-15,2014-10,Brick,65,2991.43
2014-12-15,2014-10,Panel,6,4318.12
2014-12-15,2014-10,Brick,125,234.75
2014-12-15,2014-10,Panel,81,22.19
2014-12-15,2014-10,Panel,19,4009.0
2014-12-15,2014-10,Brick,136,3444.37
2014-12-15,2014-10,Brick,133,425.64
2014-12-15,2014-10,Brick,115,4148.2
2014-12-16,2014-10,Panel,95,4387.85
2014-12-16,2014-10,Brick,41,26.97
2014-12-16,2014-10,Panel,65,3652.07
2014-12-16,2014-10,Brick,3,3455.4
2014-12-16,2014-10,Brick,31,2053.72
2014-12-16,2014-10,Brick,102,7885.97
2014-12-16,2014-10,Brick,48,3156.15
2014-12-16,2014-10,Brick,130,1599.4
2014-12-17,2014-10,Brick,132,5895.3
2014-12-17,2014-10,Brick,81,439.5
2014-12-17,2014-10,Panel,74,1106.57
2014-12-17,2014-10,Panel,45,110.65
2014-12-17,2014-10,Brick,87,6317.61
2014-12-17,2014-10,Brick,96,9107.06
2014-12-17,2014-10,Brick,104,4832.44
2014-12-17,2014-10,Brick,40,4117.23
2014-12-18,2014-10,Stone,13,1205.84
2014-12-18,2014-10,Panel,93,2098.44
2014-12-18,2014-10,Stone,1,203.96
2014-12-18,2014-10,Brick,9,2736.36
2014-12-18,2014-10,Brick,27,20.89
2014-12-18,2014-10,Brick,73,3977.14
2014-12-18,2014-10,Panel,50,3301.5
2014-12-18,2014-10,Brick,116,237.17
2014-12-19,2014-10,Brick,122,4001.97
2014-12-19,2014-10,Panel,55,1949.77
2014-12-19,2014-10,Panel,38,972.64
2014-12-19,2014-10,Brick,2,9306.42
2014-12-19,2014-10,Brick,98,1445.45
2014-12-19,2014-10,Panel,87,2136.36
2014-12-19,2014-10,Brick,123,2359.55
2014-12-19,2014-10,Stone,5,1928.52
2014-12-20,2014-10,Brick,95,1937.69
2014-12-20,2014-10,Panel,21,2027.6
2014-12-20,2014-10,Brick,17,2286.9
2014-12-20,2014-10,Panel,12,1136.96
2014-12-20,2014-11,Brick,79,119.3
2014-12-20,2014-11,Brick,35,4940.79
2014-12-20,2014-11,Brick,120,473.82
2014-12-20,2014-11,Panel,43,5647.86
2014-12-21,2014-11,Brick,93,3223.97
2014-12-21,2014-11,Brick,3,1305.55
2014-12-21,2014-11,Brick,44,120.08
2014-12-21,2014-11,Panel,10,1565.15
2014-12-21,2014-11,Panel,67,1217.3
2014-12-21,2014-11,Panel,53,1128.85
2014-12-21,2014-11,Brick,5,2173.77
2014-12-21,2014-11,Panel,40,388.17
2014-12-22,2014-11,Panel,44,2486.06
2014-12-22,2014-11,Brick,20,8308.12
2014-12-22,2014-11,Panel,100,403.07
2014-12-22,2014-11,Brick,98,3496.02
2014-12-22,2014-11,Panel,84,6544.04
2014-12-22,2014-11,Panel,98,2705.04
2014-12-22,2014-11,Brick,25,842.18
2014-12-22,2014-11,Brick,138,4558.32
2014-12-23,2014-11,Panel,52,3978.04
2014-12-23,2014-11,Brick,103,4548.06
2014-12-23,2014-11,Brick,36,5121.4
2014-12-23,2014-11,Brick,81,15.64
2014-12-23,2014-11,Brick,118,10288.13
2014-12-23,2014-11,Brick,136,4932.7
2014-12-23,2014-11,Stone,14,5827.47
2014-12-23,2014-11,Panel,74,146.41
2014-12-24,2014-11,Panel,66,3587.45
2014-12-24,2014-11,Panel,68,1729.8
2014-12-24,2014-11,Panel,14,5479.52
2014-12-24,2014-11,Brick,61,2409.32
2014-12-24,2014-11,Brick,24,2030.06
2014-12-24,2014-11,Panel,57,2812.16
2014-12-24,2014-11,Panel,46,6530.49
2014-12-24,2014-11,Brick,49,2355.13
2014-12-25,2014-11,Brick,45,1956.35
2014-12-25,2014-11,Panel,79,4650.58
2014-12-25,2014-11,Panel,29,6526.99
2014-12-25,2014-11,Panel,28,2751.66
2014-12-25,2014-11,Panel,19,349.88
2014-12-25,2014-11,Brick,34,1023.7
2014-12-25,2014-11,Stone,7,7166.98
2014-12-25,2014-11,Panel,64,2745.93
2014-12-26,2014-11,Brick,77,1553.89
2014-12-26,2014-11,Brick,109,5031.29
2014-12-26,2014-11,Panel,97,47.16
2014-12-26,2014-11,Brick,107,2919.98
2014-12-26,2014-11,Panel,32,1942.83
2014-12-26,2014-11,Panel,42,4505.18
2014-12-26,2014-11,Panel,48,728.99
2014-12-26,2014-11,Brick,112,6990.95
2014-12-27,2014-11,Brick,30,1294.35
2014-12-27,2014-11,Brick,123,3593.79
2014-12-27,2014-11,Panel,25,3635.47
2014-12-27,2014-11,Brick,91,442.34
2014-12-27,2014-11,Brick,131,8656.65
2014-12-27,2014-11,Brick,33,24.57
2014-12-27,2014-11,Brick,84,2529.4
2014-12-27,2014-11,Brick,85,2338.15
2014-12-28,2014-11,Brick,73,2389.01
2014-12-28,2014-11,Panel,3,7367.36
2014-12-28,2014-11,Brick,11,4657.41
2014-12-28,2014-11,Brick,125,1627.02
2014-12-28,2014-11,Brick,65,2283.09
2014-12-28,2014-11,Brick,74,289.16
2014-12-28,2014-11,Brick,14,1205.37
2014-12-28,2014-11,Panel,89,3842.97
2014-12-29,2014-11,Stone,10,2699.24
2014-12-29,2014-11,Brick,27,104.38
2014-12-29,2014-11,Panel,6,632.0
2014-12-29,2014-11,Panel,71,392.3
2014-12-29,2014-11,Brick,63,7216.81
2014-12-29,2014-11,Panel,16,1232.3
2014-12-29,2014-11,Panel,12,1618.27
2014-12-29,2014-11,Brick,78,1765.66
2014-12-30,2014-11,Panel,91,5291.21
2014-12-30,2014-11,Brick,18,8306.64
2014-12-30,2014-11,Brick,60,1203.2
2014-12-30,2014-11,Panel,62,6298.37
2014-12-30,2014-11,Brick,8,2472.38
2014-12-30,2014-11,Brick,21,2826.78
2014-12-30,2014-11,Brick,39,3585.39
2014-12-30,2014-11,Stone,6,6080.71
2014-12-31,2014-11,Panel,88,5798.92
2014-12-31,2014-11,Panel,36,3846.89
2014-12-31,2014-11,Brick,114,1355.29
2014-12-31,2014-11,Panel,93,1002.89
2014-12-31,2014-11,Panel,5,4243.2
2014-12-31,2014-11,Brick,71,4328.72
2014-12-31,2014-11,Brick,29,6188.58
2014-12-31,2014-11,Brick,4,3584.16
