Payment date,Payable month,House,Apartment,Amount of payment
2014-10-11,2014-08,Brick,39,3225.5
2014-10-11,2014-08,Brick,60,1217.69
2014-10-11,2014-08,Brick,42,680.42
2014-10-11,2014-08,Brick,12,4270.21
2014-10-11,2014-08,Brick,29,7424.04
2014-10-12,2014-08,Panel,56,1524.08
2014-10-12,2014-08,Stone,11,251.44
2014-10-12,2014-08,Brick,48,2764.24
2014-10-12,2014-08,Panel,86,742.41
2014-10-12,2014-08,Panel,59,3375.94
2014-10-12,2014-08,Panel,99,670.72
2014-10-12,2014-08,Brick,112,645.56
2014-10-12,2014-08,Brick,82,2605.08
2014-10-13,2014-08,Brick,102,6944.66
2014-10-13,2014-08,Brick,135,4994.87
2014-10-13,2014-08,Panel,29,8221.65
2014-10-13,2014-08,Panel,13,39.12
2014-10-13,2014-08,Brick,137,1602.46
2014-10-13,2014-08,Stone,4,3071.32
2014-10-13,2014-08,Brick,129,2022.08
2014-10-13,2014-08,Brick,52,5291.09
2014-10-14,2014-08,Brick,79,7286.09
2014-10-14,2014-08,Brick,20,2729.81
2014-10-14,2014-08,Panel,15,127.95
2014-10-14,2014-08,Brick,13,3977.05
2014-10-14,2014-08,Panel,61,5384.4
2014-10-14,2014-08,Brick,106,2773.93
2014-10-14,2014-08,Brick,92,3923.29
2014-10-14,2014-08,Brick,132,4874.58
2014-10-15,2014-08,Panel,67,234.22
2014-10-15,2014-08,Wooden,3,5044.18
2014-10-15,2014-08,Brick,10,336.94
2014-10-15,2014-08,Brick,138,1069.4
2014-10-15,2014-08,Panel,21,1043.19
2014-10-15,2014-08,Panel,3,1993.13
2014-10-15,2014-08,Brick,47,1068.28
2014-10-15,2014-08,Panel,36,8113.24
2014-10-16,2014-08,Panel,24,976.56
2014-10-16,2014-08,Brick,46,2080.72
2014-10-16,2014-08,Brick,121,3094.79
2014-10-16,2014-08,Brick,40,6540.52
2014-10-16,2014-09,Brick,28,10879.42
2014-10-16,2014-09,Stone,12,692.39
2014-10-16,2014-09,Panel,23,308.52
2014-10-16,2014-09,Panel,5,771.4
2014-10-17,2014-09,Panel,42,3853.27
2014-10-17,2014-09,Brick,62,4863.98
2014-10-17,2014-09,Panel,21,2342.37
2014-10-17,2014-09,Panel,48,1515.75
2014-10-17,2014-09,Panel,45,1196.08
2014-10-17,2014-09,Panel,28,9185.78
2014-10-17,2014-09,Brick,68,5640.15
2014-10-17,2014-09,Panel,31,1819.97
2014-10-18,2014-09,Brick,73,3997.14
2014-10-18,2014-09,Panel,66,1541.54
2014-10-18,2014-09,Panel,62,6797.91
2014-10-18,2014-09,Panel,30,1245.92
2014-10-18,2014-09,Panel,9,1949.09
2014-10-18,2014-09,Brick,85,945.01
2014-10-18,2014-09,Wooden,1,4819.18
2014-10-18,2014-09,Brick,57,706.61
2014-10-19,2014-09,Panel,98,1777.92
2014-10-19,2014-09,Panel,69,2250.19
2014-10-19,2014-09,Panel,70,5254.38
2014-10-19,2014-09,Brick,100,4556.0
2014-10-19,2014-09,Brick,14,748.56
2014-10-19,2014-09,Panel,68,6162.11
2014-10-19,2014-09,Brick,115,2177.27
2014-10-19,2014-09,Brick,58,1997.67
2014-10-20,2014-09,Brick,30,1087.8
2014-10-20,2014-09,Brick,84,2118.94
2014-10-20,2014-09,Panel,1,1254.19
2014-10-20,2014-09,Brick,93,1226.86
2014-10-20,2014-09,Brick,99,6795.59
2014-10-20,2014-09,Brick,63,155.06
2014-10-20,2014-09,Brick,136,3737.58
2014-10-20,2014-09,Brick,5,3423.29
2014-10-21,2014-09,Panel,88,865.95
2014-10-21,2014-09,Brick,11,3237.04
2014-10-21,2014-09,Brick,138,3258.66
2014-10-21,2014-09,Brick,97,3855.73
2014-10-21,2014-09,Panel,36,4992.65
2014-10-21,2014-09,Brick,59,931.61
2014-10-21,2014-09,Brick,87,7949.83
2014-10-21,2014-09,Brick,134,296.09
2014-10-22,2014-09,Brick,79,1292.23
2014-10-22,2014-09,Brick,33,2490.27
2014-10-22,2014-09,Panel,54,7951.99
2014-10-22,2014-09,Brick,40,6699.32
2014-10-22,2014-09,Brick,39,790.8
2014-10-22,2014-09,Brick,92,3662.9
2014-10-22,2014-09,Brick,67,695.18
2014-10-22,2014-09,Brick,122,5493.82
2014-10-23,2014-09,Brick,53,3433.14
2014-10-23,2014-09,Brick,82,6024.5
2014-10-23,2014-09,Panel,7,4455.45
2014-10-23,2014-09,Brick,45,1970.06
2014-10-23,2014-09,Brick,42,579.04
2014-10-23,2014-09,Panel,94,7159.17
2014-10-23,2014-09,Panel,33,2398.51
2014-10-23,2014-09,Brick,95,5642.25
2014-10-24,2014-09,Wooden,5,2809.47
2014-10-24,2014-09,Brick,43,4774.62
2014-10-24,2014-09,Panel,64,831.17
2014-10-24,2014-09,Panel,61,3192.56
2014-10-24,2014-09,Brick,47,1094.26
2014-10-24,2014-09,Brick,19,285.09
2014-10-24,2014-09,Brick,90,6966.89
2014-10-24,2014-09,Panel,58,1419.39
2014-10-25,2014-09,Panel,71,6009.16
2014-10-25,2014-09,Panel,15,922.92
2014-10-25,2014-09,Brick,32,2618.15
2014-10-25,2014-09,Brick,65,1463.35
2014-10-25,2014-09,Stone,14,745.86
2014-10-25,2014-09,Panel,19,8635.12
2014-10-25,2014-09,Brick,48,405.56
2014-10-25,2014-09,Brick,21,1142.14
2014-10-26,2014-09,Brick,86,816.49
2014-10-26,2014-09,Brick,112,7659.75
2014-10-26,2014-09,Brick,18,116.33
2014-10-26,2014-09,Panel,11,5529.06
2014-10-26,2014-09,Brick,66,438.76
2014-10-26,2014-09,Brick,61,97.85
2014-10-26,2014-09,Wooden,4,6968.76
2014-10-26,2014-09,Panel,78,2473.53
2014-10-27,2014-09,Brick,80,1866.25
2014-10-27,2014-09,Brick,52,4705.84
2014-10-27,2014-09,Brick,121,8844.85
2014-10-27,2014-09,Brick,1,3489.23
2014-10-27,2014-09,Brick,77,1970.36
2014-10-27,2014-09,Brick,117,0.09
2014-10-27,2014-09,Panel,56,4316.3
2014-10-27,2014-09,Panel,37,1009.42
2014-10-28,2014-09,Panel,85,3807.81
2014-10-28,2014-09,Panel,52,1379.87
2014-10-28,2014-09,Panel,55,2903.5
2014-10-28,2014-09,Brick,131,4968.87
2014-10-28,2014-09,Panel,89,1274.2
2014-10-28,2014-09,Brick,10,205.35
2014-10-28,2014-09,Brick,31,2693.62
2014-10-28,2014-09,Brick,132,2664.34
2014-10-29,2014-09,Brick,126,2570.68
2014-10-29,2014-09,Panel,93,899.14
2014-10-29,2014-09,Brick,139,526.37
2014-10-29,2014-09,Panel,41,1853.21
2014-10-29,2014-09,Brick,35,3760.84
2014-10-29,2014-09,Brick,102,2707.26
2014-10-29,2014-09,Panel,65,1566.75
2014-10-29,2014-09,Brick,17,2555.98
2014-10-30,2014-09,Brick,4,6633.28
2014-10-30,2014-09,Stone,3,1915.87
2014-10-30,2014-09,Panel,22,5054.4
2014-10-30,2014-09,Panel,25,2557.03
2014-10-30,2014-09,Brick,75,2186.03
2014-10-30,2014-09,Brick,89,4168.79
2014-10-30,2014-09,Brick,81,883.57
2014-10-30,2014-09,Panel,24,2345.4
2014-10-31,2014-09,Brick,119,5636.9
2014-10-31,2014-09,Brick,13,8620.89
2014-10-31,2014-09,Brick,50,4185.5
2014-10-31,2014-09,Brick,88,6440.94
2014-10-31,2014-09,Brick,25,1440.58
2014-10-31,2014-09,Brick,6,4680.65
2014-10-31,2014-09,Brick,104,4625.0
2014-10-31,2014-09,Panel,99,2363.48
